Reference	Event
Joshua 1:1–9	After Moses’ death, the LORD directly commissions Joshua to lead Israel across the Jordan.
Joshua 1:10–11	Joshua commands the officers to prepare the people to cross the Jordan within three days.
Joshua 1:12–18	Joshua reminds the tribes of Reuben, Gad, and half-Manasseh of their obligation to help conquer the land.
Joshua 2:1a	Joshua sends two spies from Shittim to view the land, especially Jericho.
Joshua 2:1b–7	The spies lodge in the house of Rahab the prostitute, where she hides them from the king of Jericho.
Joshua 2:8–14	Rahab confesses faith in the LORD and makes a covenant with the spies for the safety of her household.
Joshua 2:15–21	Rahab lets the spies down by a rope through the window, and they instruct her to hang a scarlet cord.
Joshua 2:22–24	The spies hide in the hills for three days and then return to Joshua with a favorable report.
Joshua 3:1	Israel departs from Shittim and camps on the banks of the Jordan before crossing.
Joshua 3:2–6	Joshua instructs the people to follow the ark at a distance and to consecrate themselves.
Joshua 3:7–13	The LORD promises to exalt Joshua that day as the priests bearing the ark step into the Jordan.
Joshua 3:14–17	The waters of the Jordan miraculously stop flowing when the priests’ feet touch the water.
Joshua 4:1–7	The LORD commands Joshua to take twelve men, one from each tribe, to remove stones from the riverbed.
Joshua 4:8–9	Twelve stones are set up as a memorial at Gilgal, and twelve stones are placed in the middle of the Jordan.
Joshua 4:10–18	The priests carrying the ark come up from the Jordan, and the waters return to flood stage.
Joshua 4:19–24	The memorial at Gilgal is explained to future generations as a sign of God’s power.
Joshua 5:1	The kings of the Amorites and Canaanites lose heart because of the miracle at the Jordan.
Joshua 5:2–7	The LORD commands Joshua to circumcise the new generation born in the wilderness.
Joshua 5:10–12	Israel celebrates the Passover on the fourteenth day of the month at Gilgal.
Joshua 5:12	The manna ceases the day after the Passover when Israel eats the produce of Canaan.
Joshua 5:13–15	Joshua encounters the Commander of the army of the LORD near Jericho and worships him.
Joshua 6:1–5	The LORD gives Joshua detailed instructions for marching around Jericho for seven days.
Joshua 6:6–14	Israel marches around Jericho once each day for six days with priests blowing rams’ horns.
Joshua 6:15–21	On the seventh day Israel marches seven times, shouts, and the walls of Jericho collapse.
Joshua 6:22–25	Joshua spares Rahab and her household and burns Jericho, devoting everything to destruction.
Joshua 6:26–27	Joshua pronounces a curse on anyone who rebuilds Jericho.
