Phrase	Description	Verse Reference	Point Value
Scarlet cord in window	Rahab tied the scarlet cord in her window so her household would be spared when Jericho fell.	Joshua 2:18-21	1
Rahab the prostitute	Canaanite woman who hid Israel’s spies on her roof and later joined Israel.	Joshua 2:1	1
Jordan waters heaped up	The Jordan stopped flowing, piling up in a heap so Israel crossed on dry ground.	Joshua 3:16	1
Twelve Jordan stones	Stones taken from the riverbed as a memorial of the miraculous crossing.	Joshua 4:8-9	1
Gilgal camp	First Israelite encampment in Canaan, east of Jericho.	Joshua 4:19	1
Flint knife circumcision	Israel renewed circumcision at Gilgal after 40 wilderness years.	Joshua 5:2-3	2
Manna ceased	Manna stopped the day Israel ate Canaan’s produce.	Joshua 5:12	2
Commander of Lord’s army	Mysterious warrior with drawn sword who met Joshua near Jericho.	Joshua 5:13-15	2
Jericho walls fell flat	After seven days of marching and shouting, Jericho’s walls collapsed.	Joshua 6:20	1
Seven trumpet priests	Priests carrying rams’ horn trumpets led the march around Jericho.	Joshua 6:4	1
Marched seven times	On the seventh day Israel circled Jericho seven times before shouting.	Joshua 6:15	1
Rahab’s family spared	Rahab and all her household were brought to safety because of the scarlet cord.	Joshua 6:25	1
Jericho rebuild curse	Joshua cursed anyone who would rebuild Jericho’s foundations.	Joshua 6:26	3
Achan stole devoted things	Achan took a cloak, silver, and gold from Jericho, bringing defeat on Israel.	Joshua 7:1	2
Valley of Achor	Place where Achan and his family were stoned for theft.	Joshua 7:26	3
Ai ambush victory	Israel used a feigned retreat and ambush to capture Ai the second time.	Joshua 8:1-29	2
Mount Ebal altar	Joshua built an altar of uncut stones on Ebal as Moses commanded.	Joshua 8:30-31	3
Blessings and cursings read	Half Israel stood before Gerizim, half before Ebal while the Law was read.	Joshua 8:33-35	3
Moldy Gibeonite bread	Gibeonites used stale bread to pretend they came from far away.	Joshua 9:5	2
Gibeonites became servants	Joshua made the deceptive Gibeonites woodcutters and water carriers forever.	Joshua 9:27	2
Sun stood still	Joshua prayed and the sun halted over Gibeon for about a whole day.	Joshua 10:12-13	1
Five kings in cave	Amorite kings hid in Makkedah cave; Joshua sealed and later executed them.	Joshua 10:16-27	2
Feet on kings’ necks	Joshua made Israel’s captains place feet on the necks of defeated kings.	Joshua 10:24	3
Huge hailstones	More enemies died from hailstones than by Israel’s swords.	Joshua 10:11	2
Hazor burned	Only major city Joshua completely burned; its king was killed.	Joshua 11:11	3
Land had rest	After all major battles, the land finally rested from war.	Joshua 11:23	2
Caleb wants Hebron	85-year-old Caleb asked for the hill country with Anakim giants.	Joshua 14:12	2
Drove out Anakim	Caleb expelled Sheshai, Ahiman, and Talmai, the three sons of Anak.	Joshua 15:14	3
Achsah asks for springs	Caleb’s daughter asked and received upper and lower springs.	Joshua 15:18-19	3
Cities of refuge	Six appointed cities where accidental manslayers could flee for safety.	Joshua 20:2-9	3
Choose this day	Joshua’s famous challenge to Israel to serve the Lord alone.	Joshua 24:15	1
As for me and my house	Joshua declared his household would serve the Lord regardless.	Joshua 24:15	1
Stone of witness	Large stone under the oak that “heard” Israel’s covenant renewal.	Joshua 24:26-27	3
Joshua died at 110	Faithful leader buried in his inheritance at Timnath-serah.	Joshua 24:29	2
Joseph’s bones buried	Bones brought from Egypt finally buried at Shechem.	Joshua 24:32	3
Shittim spies sent	Joshua secretly sent two spies from Shittim to view the land.	Joshua 2:1	2
Spies on Rahab’s roof	Rahab hid the spies among stalks of flax on her roof.	Joshua 2:6	2
King of Jericho searched	Jericho’s king demanded Rahab bring out the Israelite spies.	Joshua 2:2-3	3
Priests stood in Jordan	Priests bearing the ark stood in the riverbed until all crossed.	Joshua 3:17	2
Reproach of Egypt rolled away	Name “Gilgal” given because God removed Israel’s shame at circumcision.	Joshua 5:9	3
Passover at Gilgal	First Passover in Canaan kept on the 14th day in Jericho plains.	Joshua 5:10	2
Holy ground command	Commander told Joshua to remove sandals because the place was holy.	Joshua 5:15	2
Devoted to destruction	Everything in Jericho devoted to the Lord for total destruction except Rahab.	Joshua 6:17-21	2
Gold into treasury	Precious metals from Jericho placed in the treasury of the Lord’s house.	Joshua 6:19	3
First Ai defeat	Israel fled from Ai; about 36 men died because of Achan’s sin.	Joshua 7:4-5	2
Joshua tore clothes	Joshua and elders fell before the ark in mourning after Ai defeat.	Joshua 7:6	3
Lot found Achan	Tribe, clan, and household narrowed by lot until Achan was taken.	Joshua 7:16-18	3
